"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","-14581005.5865921","-7430167.59776539","-26312849.1620112","-38770949.7206704","-149273743.01676","-199217877.094972","33854748.6033521","42849162.011173","85027932.9608938","-25586592.1787713","-53631284.9162011","-167541899.441341","-14357541.8994412","-339905027.932961","309776536.312849","430458100.558659","-137737430.167598","-24379888.2681561","453525139.664805","716110922.865356","546729298.500311","766368715.083799","247765363.128491","344357541.899441","-248938547.486033","101005586.592178","281620111.731844","-107251418.994414","37983838.5474859","304539205.586592","337186045.251396","","","",
"Afghanistan","AFG","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","-205100000","-176800000","-337700000","-212700000","-263000000","-579800000","-407500000","-793800000","-486500000","-328400000","-466400000","","","","","","","","","","","","","","","","","","","-1958717621.64345","-2036923816.9239","-3333856064.78148","-4313125795.53613","-7619657733.68041","-8845300877.4233","-6404868023.88367","-7200694994.9967","-6346324852.6695","-6977111494.01022","","",
"Angola","AGO","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","388000000","-211000000","689000000","114000000","651000000","606900000","434300000","-54757000","-18200000","149800000","316690000","898908000","-57120000","-1049830000","-394130000","2449010000","39510000","1452563748.26","908005425.5","3163257044.7","9142016030.83224","17057651830.29","18402195771.95","21121860427.389","-378203335.810001","16030508137.59","24144210612.8379","26025090817.047","20169149501.7639","7313313527.45261","-3531471369.03046","2642737292.90861","7341498049.76023","15501535712.0519","",
"Albania","ALB","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","6700000","27400000","-86700000","-50900000","-37800000","-43500000","-9000000","-2100000","-34300000","-49800000","-131400000","-232200000","-539300000","-574200000","-513100000","-532500000","-738500000","-586432500","-646330000","-556700000","-795800000","-936900000","-1160330000","-1419161205.65833","-1642928988.60121","-2039576837.24939","-2203548908.04487","-2879743004.28052","-3446126996.47814","-2967394172.50198","-2456390642.37229","-2932716632.82082","-2296761241.42575","-2308765606.46251","-2506992157.87101","-1966180769.23212","-2001510213.2648","-1978658722.18738","-2077700736.04314","",
"Andorra","AND","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","1125000000","1836000000","2456000000","337000000","-3285000000","-1006000000","2320000000","2947000000","3204000000","4342000000","1543000000","245000000","3555000000","5109000000","7954000000","2820000000","-3953300000","-5689240000","-7917900000","-1078685000","-1787449423.7252","-6507815237.43072","-7541547974.1887","-4905758055.83512","-1831883471.95655","3521810643.66418","15717280000","15611500000","11933610000","12095220000","13266642573.1593","12570579976.2887","13340936973.2968","16652818510.3957","12343520648.5783","9198443049.71353","10943688062.5682","-693680874.428871","900177659.49876","-6600221085.86427","-4035498243.93579","-15611260103.2067","-10148888869.2674","",
"Armenia","ARM","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-129559250","-214245682.638889","-445631021.254784","-536868690.108658","-641500248.798068","-641619876.597845","-517560894.321732","-531776959.196634","-521259827.233028","-459464455.002652","-547927151.231746","-645186306.791906","-782593642.472682","-1035254569.32817","-1906845403.33537","-3127485895.91526","-2366282262.46614","-2326489846.17148","-2175629987.68525","-2214007063.77409","-2321138558.37881","-2168908139.47845","-1281811102.27719","-1015948647.68012","-1411644599.60844","-1946931791.94864","",
"American Samoa","ASM","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
